species,condition,animal,fwhm_h,peak6_frac,max_jump,peak_to_mean,vector_r,n_peaks
L. cornutus,LD,Lc85,2,0.637218759488344,0.873451803984922,5.733810957576521,0.555760632121863,5
L. cornutus,LD,Lc87,2,0.4084981916462014,0.9646677471636952,4.786159378887118,0.21345499803093404,5
L. cornutus,LD,Lc100,3,0.7458093602618691,0.9395604395604397,4.854985522539261,0.7250578870339254,4
L. cornutus,LD,Lc6,2,0.732410546270603,0.6431924882629108,5.986427361294485,0.6468071587864842,3
L. cornutus,LD,Lc11,6,0.6520255906746878,0.4376770538243626,3.5696031044885013,0.6529527533434655,4
L. cornutus,LD,Lc13,6,0.6067904227410089,0.7246963562753036,4.001585361803873,0.5974815264218621,4
L. cornutus,LD,Lc14,2,0.9023290289006581,0.9148174659985683,6.287050640270423,0.8423277918590313,2
L. cornutus,LD,Lc15,9,0.5614255991834848,0.6406460296096904,2.9175030647467355,0.6680456885282325,3
L. cornutus,LD,Lc90,5,0.5809589611852065,0.7425860023724792,3.6020522552089203,0.6106617442359714,3
L. cornutus,LD,Lc92,2,0.6139384722458684,0.8571428571428573,4.3459274730555135,0.535210395744263,4
L. cornutus,LD,Lc93,4,0.6106038527369374,0.7129943502824859,5.474557126269544,0.6634207119618406,3
L. cornutus,LD,Lc95,3,0.7396284981876622,1.0,4.5790810492448335,0.7109831776733582,2
L. cornutus,LD,LcF23,4,0.7192041135703108,0.6761904761904761,4.507042253521127,0.696652761566915,4
L. cornutus,LD,LcF22,2,0.71631000578369,0.7540372670807454,5.587044534412956,0.638510556050506,5
L. cornutus,LD,LcF21,2,0.7757920389926892,0.9973544973544975,7.369618196588143,0.6165816543559549,2
L. cornutus,LD,LcF20,2,0.7421499815293684,0.806378132118451,5.8381972663465085,0.7485046410533771,3
L. cornutus,LD,LcF19,8,0.6849771119434042,0.564864864864865,3.6953807740324596,0.7389563521664771,2
L. cornutus,LD,LcF11,6,0.5232095490716182,0.965686274509804,3.2466843501326275,0.5435047439190512,4
L. cornutus,LD,LcF5,3,0.7403846153846153,0.8309859154929577,5.851648351648352,0.6754227536995793,4
L. cornutus,LD,LcF6,3,0.736174530695079,0.5151515151515152,4.8219178082191805,0.6921793853076683,4
L. cornutus,LD,LcF2,1,0.8473913043478262,0.6841317365269461,6.970434782608697,0.7397373211932358,3
A. pennsylvanica,DD,Ag8F,6,0.3797927820266748,0.8085379186038062,2.1547468311366935,0.2297721856398339,7
A. pennsylvanica,DD,Ag17F,6,0.4276565106733582,0.765692007797271,2.4813833371800937,0.20771086390822735,8
A. pennsylvanica,DD,Ag27F,7,0.33762449092740415,0.7226964324797549,2.068857815790397,0.11416637100995392,8
A. pennsylvanica,DD,Ag33F,3,0.49185192338632505,0.8063691204756076,3.365148165941272,0.3097440923485568,5
A. pennsylvanica,DD,Ag46F,1,0.43846718169166504,0.7910132853360656,5.539623088996937,0.22808975067762882,3
A. pennsylvanica,DD,Ag60F,8,0.36654237670131423,0.8406593406593407,2.237147288813175,0.21816111990316456,8
A. pennsylvanica,DD,Ag62F,10,0.40813943563069827,0.9535800500520454,2.205340738357465,0.28761462454450853,7
A. pennsylvanica,DD,Ag69F,5,0.45287310493127597,0.8626780492406374,3.0562288567387776,0.277861506336207,7
A. pennsylvanica,DD,Ag72F,2,0.4765163412893972,0.909243456277668,3.956683594412192,0.27682225555198214,7
A. pennsylvanica,DD,Ag77F,2,0.5558493965294344,0.9856816113182267,5.642000179086161,0.3488777179918242,4
A. pennsylvanica,DD,Ag75F,5,0.4086723817788527,0.6984601254368659,3.036988221700408,0.21652959224230067,8
A. pennsylvanica,DD,Ag1M,1,0.41703965088930156,0.8700476048679942,4.85311341107817,0.20869582195304895,5
A. pennsylvanica,DD,Ag3M,10,0.4611940311985267,0.6287323043747378,2.266336299737718,0.3930368895015425,7
A. pennsylvanica,DD,Ag5M,4,0.3891864321320472,0.6705888478159004,2.9837626463456957,0.20284870478401462,7
A. pennsylvanica,DD,Ag6M,3,0.5080092890587858,0.7884615384615384,3.5313479143273585,0.2976412457259761,6
A. pennsylvanica,DD,Ag7M,5,0.4007319032680185,0.7483695652173913,2.4386992868809703,0.2268329457422514,7
A. pennsylvanica,DD,Ag10M,6,0.46443733910363677,0.5973597359735974,2.948519090781928,0.32456291452523883,7
A. pennsylvanica,DD,Ag13M,4,0.37377660400807833,0.6245644599303135,2.5502563305887835,0.1571929325643934,8
A. pennsylvanica,DD,Ag24M,4,0.38641560399757857,0.5667145033060107,2.474203444484385,0.28642080373133777,5
A. pennsylvanica,DD,Ag26M,5,0.4007834805845789,0.5888425925925925,2.3122932882240326,0.18196393214552353,5
A. pennsylvanica,DD,Ag28M,5,0.4211191951997411,0.944754118667162,2.779511893241943,0.18651725246014797,7
A. pennsylvanica,DD,Ag29M,4,0.5487458617722634,0.5110417106593906,3.356786821027754,0.40257102447740484,5
A. pennsylvanica,LD,Ag8F,9,0.32546446838018267,0.6918276374442794,2.377754512606585,0.12527283264923986,9
A. pennsylvanica,LD,Ag17F,3,0.5369904066189606,0.9429241003931055,4.510806097756358,0.36870613828047655,4
A. pennsylvanica,LD,Ag27F,4,0.43771534457704653,0.8972000139650176,3.333733992534644,0.23239026782203595,6
A. pennsylvanica,LD,Ag33F,3,0.47153164864544644,0.804101838755304,3.5151092418636756,0.3747386871017989,5
A. pennsylvanica,LD,Ag46F,6,0.46183465522277395,0.6652314316469322,2.5801671647156628,0.3110413924534202,7
A. pennsylvanica,LD,Ag60F,6,0.5156885052373575,0.8106796116504856,3.1989510287245873,0.4317329094306305,5
A. pennsylvanica,LD,Ag62F,7,0.47674077372218465,0.8330742391266799,3.0600783234332787,0.3895187147688096,5
A. pennsylvanica,LD,Ag69F,7,0.4980061665945182,0.6161841128433556,3.0480147882509137,0.4015008237012613,6
A. pennsylvanica,LD,Ag75F,10,0.4165370826010545,0.9498432601880876,2.252102636203867,0.2954261080107608,8
A. pennsylvanica,LD,Ag3M,5,0.5267470877520265,0.9178189363402894,3.7118762638303497,0.4700140678444663,5
A. pennsylvanica,LD,Ag5M,2,0.39651653313047686,0.7448275862068965,3.2508985289613817,0.25226445459690167,7
A. pennsylvanica,LD,Ag6M,2,0.48816010293346473,0.6741573033707865,4.097518027644061,0.3476691656873663,5
A. pennsylvanica,LD,Ag7M,2,0.3820185661238515,0.8892674616695058,4.347451859482782,0.2725825108776821,7
A. pennsylvanica,LD,Ag10M,2,0.6104629784630826,0.9592385861945856,5.1856075383368845,0.4425371136683645,3
A. pennsylvanica,LD,Ag13M,9,0.36943889851120465,0.8813307719175689,2.2161257477284906,0.23400075864879682,7
A. pennsylvanica,LD,Ag24M,2,0.35646371174192576,0.8848698226178997,3.241047773841391,0.2045809989227728,7
A. pennsylvanica,LD,Ag26M,2,0.5229786393861209,0.709012748295286,4.396186102291095,0.3853269793666187,3
