k1,k2,k3,k_geo,asym,a1,a2,a3,sigma_proposal,amp_prot_LC,amp_act_LC,tau_LC,npeaks_LC,rhythmic_LC,amp_prot_AP,amp_act_AP,tau_AP,npeaks_AP,rhythmic_AP,amp_prot_SG,amp_act_SG,tau_SG,npeaks_SG,rhythmic_SG
0.054343259982035715,0.43785316495292426,0.7579894259594492,0.26224815574549937,1.9663820099989064,-1.5739706203156119,0.5125923995148085,1.0613782208008031,0.7,-5.803807817494899e-05,-1.8740046598989727e-13,,9,False,-0.00010302802793993315,-3.405796891161944e-08,,9,False,-6.573464967485343e-05,-2.172904660011337e-08,,9,False
0.10201046812521403,0.5256401532321208,0.3786519409585315,0.27280845144060845,1.2268960952444403,-0.9836944691466849,0.6558469534471676,0.3278475156995174,0.7,0.003399054024831316,0.0077639652289761,12.331875,17,False,0.0033623482107172364,0.002086605182542528,12.333333333333334,10,False,0.0033948005634686362,0.002076571497636459,12.332142857142857,15,False
0.26279959915471324,0.16662242121479,0.30133155106651355,0.23630210053101602,0.43870281385819676,0.10628068791420804,-0.34938077160990066,0.24310008369569266,0.7,0.23337411869591207,0.9327414416190789,16.778181818181817,12,True,0.2372244404996272,0.36421700963510156,16.778333333333332,7,False,0.23877259228932335,0.36543544179665516,16.77777777777778,10,False
0.12607133235052267,0.18822171278342903,0.06638367706015323,0.11635430492983959,0.7434436785568604,0.08020798763598129,0.48098070240002144,-0.5611886900360028,0.7,0.09977715178590138,0.06156306419168706,32.426,6,False,0.09436489998881548,0.2834818927852238,32.49,4,False,0.09603597321197024,0.28860640473712446,32.426,6,False
0.3738692521560928,0.21279930924156398,0.1717705539016639,0.23908164009364072,0.5681440797225777,0.44710105917429743,-0.116455572535832,-0.33064548663846555,0.7,0.1863401882777448,0.6734649263414463,16.194166666666664,13,True,0.19096068497025037,0.6540029224033568,16.195000000000004,7,True,0.19068725704306289,0.6537296956547924,16.194,11,True
0.2134547957671679,0.20962681203929084,0.11605869331902338,0.17317165506649393,0.4902943352375021,0.20914175243805105,0.19104553591559834,-0.4001872883536493,0.7,0.1797244584795032,0.439180069829461,23.047500000000003,9,True,0.17742258186999502,0.6514858552648524,23.05,5,True,0.18080212448452504,0.6574134142916371,23.048333333333336,7,True
0.15645735481399864,0.30551279386379243,0.4566012510706622,0.27946075462943903,0.7651572319273481,-0.5800783903156386,0.08912978621444988,0.4909486041011887,0.7,0.16715228918357217,0.08369077168647165,12.932857142857143,15,False,0.1664210246239326,0.04786480544849625,12.93375,9,False,0.16563025116159424,0.04807504600457463,12.933076923076923,14,False
0.5557039940999745,0.16453716939618193,0.19029303152128774,0.2591254931332846,0.9400280186121747,0.7629232939460685,-0.45417597536727916,-0.30874731857878934,0.7,0.07968501193972316,0.23992950405968494,13.42357142857143,15,False,0.08155686869671447,0.27514438781569606,13.43857142857143,8,False,0.08015587640132849,0.2699863222568212,13.426666666666668,13,False
0.20405332830789336,0.07696764640896152,0.18810405824465942,0.14348836431556558,0.7650229668385923,0.3521274259525409,-0.6228687899553591,0.2707413640028183,0.7,0.1138051074726969,0.44268263432469984,25.830000000000002,8,True,0.11683816187960927,0.3217667807622293,25.863333333333333,4,False,0.11435797205232823,0.33312582587679607,25.834999999999997,7,False
0.19314186452527204,0.24863791580562192,0.18367142216770754,0.2066149718198514,0.2295200725683466,-0.06743205348399439,0.18514066304034976,-0.1177086095563552,0.7,0.23841479386112246,0.9089199757797656,19.97222222222222,10,True,0.24743975554764058,0.770001364241196,19.9725,5,True,0.2419036186786293,0.7503917547840895,19.9725,9,True
0.32928579674354674,0.19668822571544206,0.14982008507734684,0.21329162360660556,0.5656167539818742,0.4342657025634954,-0.08104048972066949,-0.35322521284282604,0.7,0.180523424480327,0.5834509418700922,18.29090909090909,12,True,0.17623586185624202,0.6520067804598643,18.291666666666668,7,True,0.18297763299381936,0.6671243284278011,18.29111111111111,10,True
0.17615033473191483,0.12695455663426042,0.1577672239624288,0.1522355859858954,0.2356729992668099,0.14590857627102383,-0.18160002813312526,0.03569145186210165,0.7,0.21018373616717995,0.7402939377417844,27.483333333333334,7,True,0.21389275443884004,0.6877987578865377,27.486666666666665,4,True,0.2064713508949803,0.67193967337262,27.483333333333334,7,True
0.28048260061156366,0.4314344549255373,0.12203352221251838,0.2453390235494772,0.9078760830494255,0.13387066952591997,0.5644745748576405,-0.6983452443835607,0.7,0.09059585128164688,0.10158312969363234,14.160769230769231,14,False,0.08947608637212423,0.3532360644510463,14.168571428571429,8,False,0.08975476315065364,0.35273702686721975,14.161666666666667,13,False
0.13408923553565047,0.11510018893825923,0.17992975396320868,0.1405586721692735,0.32113736688844136,-0.04711948196932214,-0.19982203987543445,0.2469415218447566,0.7,0.1944785757467264,0.7588387545482681,29.549999999999997,7,True,0.19348267487793747,0.6104539068367711,29.563333333333336,4,True,0.19447417066971134,0.59252094077313,29.553999999999995,6,True
0.28012400221568656,0.08139897511207916,0.17918255595374855,0.15986559027186475,0.8849889769070682,0.560898968805316,-0.6749707192156393,0.11407175041032337,0.7,0.09075774071102699,0.3312214848630066,22.258888888888887,10,False,0.08939933309272963,0.26586281333417716,22.294,6,False,0.09128663028535267,0.2674400418189813,22.274285714285714,8,False
0.17330590548435326,0.10543030214371013,0.14983383010534598,0.13989307978099463,0.3613550663260055,0.2141798578164565,-0.28282832357208015,0.06864846575562367,0.7,0.1817032938359509,0.6237462009562689,29.483333333333334,7,True,0.18088156028942076,0.6137423723478843,29.496666666666666,4,True,0.18082870865406586,0.5979443167731356,29.486,6,True
0.08102465073181223,0.1450186016541858,0.08530151369025551,0.10007659937981743,0.4557436444062271,-0.211182448166921,0.3709261348999682,-0.15974368673304717,0.7,0.134321343517427,0.20263361984770206,40.9925,5,False,0.1369538429051643,0.4318648887658853,41.095,3,True,0.14115046152105823,0.44667962753856155,41.03333333333333,4,True
0.08581785094925662,0.2265777049758262,0.3650000618157832,0.19217456885749035,1.0433388898515914,-0.8061771338680943,0.16468378267092842,0.6414933511971659,0.7,0.06206717846823406,0.134391877701799,17.508181818181818,12,False,0.060621197743745636,0.044259144174481235,17.553333333333335,7,False,0.06302668302149061,0.04405673975139161,17.524444444444445,10,False
0.4203353424681657,0.35370063401992585,0.16542395221062747,0.29081047527652665,0.7016486156643488,0.3683810598642187,0.1957791214636762,-0.5641601813278948,0.7,0.157587072879095,0.4668545458588156,12.585625,17,True,0.15731318583974996,0.5862352422544583,12.585555555555556,10,True,0.15664840487706005,0.5858325951993597,12.585714285714285,15,True
