species,tau_h,kappa,y_th,fwhm,peak6,p2m,A_L,published
L. cornutus,2.0,60,0.25,4,0.5809044161671141,3.390112295720807,0.8779250993723389,False
L. cornutus,2.0,60,0.3,4,0.5357599782424596,3.448201356558825,0.907786040013368,False
L. cornutus,2.0,60,0.4,3,0.5395473724342846,3.736245301128489,0.9169226222247114,False
L. cornutus,2.0,60,0.5,3,0.5539078362853407,3.7570331355406443,0.8619346120866929,False
L. cornutus,2.0,60,0.6,7,0.6886005825671153,3.279590580246809,0.6884717359651509,False
L. cornutus,3.0,10,0.25,5,0.4461541562224882,2.367241375335384,0.6607500918628004,False
L. cornutus,3.0,10,0.3,4,0.46229886063862047,2.5369719826523216,0.726467498202452,False
L. cornutus,3.0,10,0.4,5,0.5117739137754248,2.683435336455801,0.7746975868348346,False
L. cornutus,3.0,10,0.5,7,0.5929816567362881,2.898350182259728,0.7220932138270453,False
L. cornutus,3.0,10,0.6,6,0.6867126923562439,3.2988518611740933,0.5542603812060672,False
L. cornutus,3.0,30,0.25,4,0.557480492174186,3.1346279145581755,0.8518306179713664,False
L. cornutus,3.0,30,0.3,5,0.5484879493526685,3.1156714301610484,0.9229499024781946,False
L. cornutus,3.0,30,0.4,4,0.5717192003215662,3.2299634570133158,0.9354258079104019,False
L. cornutus,3.0,30,0.5,5,0.595624261561256,3.219535513886568,0.838711963760125,False
L. cornutus,3.0,30,0.6,7,0.6868573984755948,3.303499383950226,0.6523421534525597,False
L. cornutus,3.0,60,0.25,4,0.5755561266317871,3.2425871794034773,0.8954682462771302,False
L. cornutus,3.0,60,0.3,5,0.5599743683685247,3.153641661653168,0.9445962616859114,False
L. cornutus,3.0,60,0.4,4,0.5830815469547578,3.400602994722658,0.9517016047158613,False
L. cornutus,3.0,60,0.5,4,0.5991803400986623,3.529612422775355,0.8874010671149279,False
L. cornutus,3.0,60,0.6,7,0.693034608728166,3.3172562287549137,0.7044776565178843,False
A. pennsylvanica,0.5,10,0.25,13,0.35068730034023554,1.6816110761303562,0.4371860702277208,False
A. pennsylvanica,0.5,10,0.3,9,0.31856351276841655,1.766261333526134,0.4580635865898365,False
A. pennsylvanica,0.5,10,0.4,7,0.3116464849715426,1.7914533205029406,0.48368762738025894,False
A. pennsylvanica,0.5,10,0.5,11,0.3566771757362897,1.8057257206010984,0.47341149969565377,False
A. pennsylvanica,0.5,10,0.6,9,0.4420299581797412,1.934888456038357,0.45257701233805764,False
A. pennsylvanica,0.5,30,0.25,8,0.48991531114611053,2.290030587453668,0.6321307853982396,False
A. pennsylvanica,0.5,30,0.3,10,0.406405406928127,2.1527215345740287,0.6678974024958613,False
A. pennsylvanica,0.5,30,0.4,6,0.3646507263924604,2.279062808951601,0.7148688751460637,False
A. pennsylvanica,0.5,30,0.5,5,0.35680958211788316,2.412695386054491,0.7052321522908723,False
A. pennsylvanica,0.5,30,0.6,8,0.39401274668109937,2.1970259922678617,0.6161587776775865,False
A. pennsylvanica,0.5,60,0.25,7,0.5403916537706066,2.488139577356232,0.7771350533008967,False
A. pennsylvanica,0.5,60,0.3,8,0.4216222211219032,2.358083059173767,0.7971041985745051,False
A. pennsylvanica,0.5,60,0.4,5,0.38319250590831805,2.483124603861294,0.832431972855665,False
A. pennsylvanica,0.5,60,0.5,5,0.3743446438269251,2.6873124222878713,0.8341654466680475,False
A. pennsylvanica,0.5,60,0.6,6,0.3655121940609133,2.473637119724753,0.7580272890284241,False
A. pennsylvanica,1.0,10,0.25,10,0.3664335708272508,1.8986992003924594,0.5411160686184814,False
A. pennsylvanica,1.0,10,0.3,4,0.3477571131644587,1.9602997847524,0.5854181129968166,False
A. pennsylvanica,1.0,10,0.4,3,0.3526779603727181,2.0620914149418326,0.6307887323317382,False
A. pennsylvanica,1.0,10,0.5,6,0.3944603727836944,2.070907198105518,0.6098141024660617,False
A. pennsylvanica,1.0,10,0.6,8,0.46002331934470164,2.1186159656938526,0.5487877267392638,False
A. pennsylvanica,1.0,30,0.25,7,0.48028884818399203,2.4327364409333696,0.7210168418194619,False
A. pennsylvanica,1.0,30,0.3,7,0.4209223561792344,2.41728281623857,0.7824864484964464,False
A. pennsylvanica,1.0,30,0.4,4,0.3820282938173501,2.4583641302622183,0.8352565851434979,False
A. pennsylvanica,1.0,30,0.5,3,0.3864894180971138,2.46018661531854,0.8118850786393708,False
A. pennsylvanica,1.0,30,0.6,6,0.428226646211817,2.2894291626857024,0.6993509762361783,False
A. pennsylvanica,1.0,60,0.25,7,0.5135079965471694,2.6529800114332303,0.8326584189049001,False
A. pennsylvanica,1.0,60,0.3,7,0.4322240009555669,2.4669969924554254,0.8643101663598542,False
A. pennsylvanica,1.0,60,0.4,5,0.3862142973701238,2.4623427975246606,0.9017462854914393,False
A. pennsylvanica,1.0,60,0.5,3,0.39016070688656307,2.6736493267595374,0.8958524570014057,False
A. pennsylvanica,1.0,60,0.6,5,0.4067504108770078,2.463093866424591,0.8096336391385169,False
A. pennsylvanica,1.5,10,0.25,4,0.37910852739429135,2.0106357744611083,0.6044216739709154,False
A. pennsylvanica,1.5,10,0.3,4,0.37305539867025334,2.0287538283880533,0.6666956699082912,False
A. pennsylvanica,1.5,10,0.4,4,0.38650920867363703,2.185990704648321,0.729439043514067,False
A. pennsylvanica,1.5,10,0.5,5,0.42755585524959516,2.2173735813180495,0.705867763111402,False
A. pennsylvanica,1.5,10,0.6,7,0.47795392279307297,2.2416292316613586,0.6217959581369098,False
A. pennsylvanica,1.5,30,0.25,7,0.47267789186993203,2.39303090079316,0.7741680094392311,False
A. pennsylvanica,1.5,30,0.3,3,0.4376144152055249,2.5607504920690456,0.8576233433293694,False
A. pennsylvanica,1.5,30,0.4,3,0.42360758802603216,2.664911109789105,0.9129341045762099,False
A. pennsylvanica,1.5,30,0.5,3,0.4322574838771789,2.612367937595333,0.8782465215405317,False
A. pennsylvanica,1.5,30,0.6,4,0.4567525806331967,2.4374336031078028,0.7524325811939478,False
A. pennsylvanica,1.5,60,0.25,7,0.4969556601136805,2.5935883873933094,0.8545967355887965,False
A. pennsylvanica,1.5,60,0.3,3,0.44757000405338226,2.6354060540433744,0.9056439434524284,False
A. pennsylvanica,1.5,60,0.4,3,0.4282586193200067,2.7021588680217565,0.9457967811878809,False
A. pennsylvanica,1.5,60,0.5,3,0.4355819763714171,2.658493963262769,0.9306357792586275,False
A. pennsylvanica,1.5,60,0.6,3,0.4434432756924243,2.5780758628729528,0.8384311147060985,False
