subjective_hour,SgA4,SgA7,SgA10,SgA11,SgA12,SgA13,SgA14,SgA17,SgA18,SgA23,SgA25,SgB1,SgB2,SgB3,SgB8,SgB18,SgB21
12,0.8648648648648649,0.28146853146853146,0.3662551440329218,0.6238859180035651,0.5630712979890311,0.3534798534798535,0.4171656686626746,0.7034220532319392,0.4,0.7348066298342542,0.7217898832684825,0.9676616915422885,0.6899618805590851,0.8205445544554455,1.6826923076923077,0.6435185185185185,3.736842105263158
13,0.01348747591522158,0.11509433962264151,0.0525328330206379,0.0,0.1227106227106227,0.012681159420289856,0.16766467065868262,0.25190839694656486,0.09285714285714286,0.4732965009208103,0.5146198830409356,0.15279503105590062,0.08481012658227848,0.03598014888337469,0.868421052631579,0.08912037037037036,2.0
14,0.005791505791505791,0.08846153846153847,0.07129455909943715,0.0375,0.23626373626373626,0.15009041591320071,0.0,0.46285714285714286,0.0928030303030303,0.14760147601476015,0.6354775828460039,0.39427860696517414,0.03802281368821293,0.8118811881188119,0.9377382465057179,0.09397590361445783,1.1483253588516746
15,0.0,0.0,0.0,0.30178571428571427,0.3992673992673993,0.05566218809980806,0.10358565737051793,0.3916349809885932,0.05625,0.3462246777163904,0.5252918287937743,0.08208955223880597,0.21473951715374842,0.30359355638166047,1.0359712230215827,0.11910669975186104,0.0991636798088411
16,0.13006756756756757,0.06538461538461539,0.0,0.026923076923076925,0.1663619744058501,0.07992202729044834,0.017964071856287425,0.3282442748091603,0.03958333333333333,0.18045112781954886,0.31968810916179335,0.16169154228855723,0.0949367088607595,0.04708798017348203,0.3013205282112845,0.2679900744416873,1.8241626794258374
17,0.008445945945945946,0.0,0.0,0.4510556621880998,0.01282051282051282,0.08284023668639054,0.001996007984031936,0.0,0.0,0.03278688524590164,0.2378167641325536,0.2421784472769409,0.034220532319391636,0.0012376237623762376,1.0072289156626506,0.07196029776674938,1.6670658682634731
18,0.05301645338208409,0.0019230769230769232,0.0,0.0019193857965451055,0.24314442413162707,0.0,0.0,0.34600760456273766,0.0,0.012295081967213115,0.02330097087378641,0.10672853828306264,0.007623888182973317,0.14002478314745972,0.22956730769230768,0.06451612903225806,0.34767025089605735
19,0.017374517374517374,0.09615384615384616,0.0,0.31153846153846154,0.1575091575091575,0.0,0.06884057971014493,0.12022900763358779,0.0,0.03680981595092025,0.0,0.4796747967479675,0.039190897597977246,0.12019826517967781,0.28725961538461536,0.06071871127633209,0.6100478468899522
20,0.0,0.09441233140655106,0.0,0.2403846153846154,0.047619047619047616,0.0,0.0036231884057971015,0.03231939163498099,0.0,0.0,0.0,0.05568445475638051,0.027090694935217905,0.10656753407682776,0.10804321728691477,0.033498759305210915,0.5933014354066986
21,0.10617760617760617,0.0019267822736030828,0.0,0.06923076923076923,0.056672760511883,0.0,0.007233273056057866,0.45904761904761904,0.0,0.12474437627811862,0.0,0.17305458768873402,0.13679245283018868,0.022304832713754646,0.24759615384615385,0.03225806451612903,0.13142174432497014
22,0.0,0.025048169556840076,0.0,0.0,0.09140767824497258,0.0,0.07078039927404718,0.32061068702290074,0.06666666666666667,0.055327868852459015,0.013628620102214651,0.0440324449594438,0.11971830985915492,0.0024752475247524753,0.2776442307692308,0.043424317617866005,0.44976076555023925
23,0.0,0.0,0.0,0.1017274472168906,0.01282051282051282,0.0,0.0,0.0,0.18958333333333333,0.0055248618784530384,0.0,0.06620209059233449,0.049528301886792456,0.03965303593556382,0.1963855421686747,0.06575682382133995,0.2537688442211055
