subjective_hour,Lc7,Lc8,Lc63,Lc65,Lc69,Lc72,Lc73,Lc74,Lc75,Lc76,Lc78,Lc79,Lc80,Lc81,Lc82,Lc85,Lc86,Lc87,Lc100,LcF8,LcF23,LcF27,LcF30,LcF31,LcF44,LcF45,LcF48,LcF49,LcF52,LcF53
10,0.16770186335403728,0.37735849056603776,0.5921325051759835,0.7037773359840954,0.26476578411405294,0.6386554621848739,0.6696230598669624,0.3528225806451613,1.583710407239819,1.1014492753623188,1.2138364779874213,0.647450110864745,0.5078651685393258,0.24375,0.3824130879345603,0.2759259259259259,1.4194260485651213,0.17436974789915966,0.8902691511387164,0.12861736334405144,0.0,0.11090225563909774,0.38070175438596493,0.6829268292682927,0.2328125,1.615678776290631,0.4154676258992806,0.6440677966101694,0.4442508710801394,0.28500823723228996
11,0.1154639175257732,0.8315789473684211,0.9168399168399168,1.2698412698412698,0.38650306748466257,0.5714285714285714,0.4866666666666667,0.569672131147541,3.613995485327314,1.6486486486486487,0.7337526205450734,0.6577777777777778,0.5190156599552572,0.5541666666666667,1.7169042769857434,0.2651072124756335,3.3716814159292037,0.5178197064989518,0.604989604989605,0.14630225080385853,0.22720247295208656,0.18512396694214875,0.30579964850615116,0.7551369863013698,0.40031152647975077,0.8675721561969439,3.0323741007194243,0.6839464882943144,0.5836236933797909,0.10049423393739704
12,0.2277432712215321,1.2941176470588236,1.15527950310559,1.9358717434869739,0.46028513238289204,0.8550420168067226,2.0444444444444443,0.8891129032258065,3.6447963800904977,2.020703933747412,1.2379958246346556,0.7133333333333334,0.5493273542600897,1.3833333333333333,3.336734693877551,1.1263157894736842,3.966887417218543,0.8277310924369747,1.2629399585921326,0.31189710610932475,0.5718701700154559,0.3848684210526316,0.4200351493848858,0.7688356164383562,0.753448275862069,1.66156462585034,3.1867145421903054,1.1622073578595318,0.6719022687609075,0.3465346534653465
13,0.020618556701030927,0.7205882352941176,0.29583333333333334,1.844186046511628,0.3816326530612245,0.4378947368421053,0.5232815964523282,0.6844262295081968,1.6094808126410836,1.7354166666666666,0.1506276150627615,0.2793791574279379,0.16141732283464566,0.38125,2.226530612244898,0.4240506329113924,2.02212389380531,0.2893081761006289,0.14166666666666666,0.2572347266881029,0.1381692573402418,0.19078947368421054,0.18563922942206654,0.13013698630136986,0.16351118760757316,1.3769100169779287,1.8226837060702876,1.140468227424749,0.5766550522648084,0.16803953871499178
14,0.13871635610766045,0.37184873949579833,0.7660455486542443,1.0138888888888888,0.08163265306122448,0.16421052631578947,0.5434782608695652,0.5241935483870968,0.7669683257918553,1.2339544513457557,0.18619246861924685,0.5152173913043478,0.38996138996138996,0.8895833333333333,0.8080168776371308,0.14767932489451477,0.6023622047244095,0.5305263157894737,0.5238095238095238,0.1032258064516129,0.16151202749140894,0.13079470198675497,0.15845070422535212,0.0839041095890411,0.28448275862068967,1.5449915110356536,0.8692185007974481,0.7919463087248322,0.5609756097560976,0.1400329489291598
15,0.14651162790697675,0.07789473684210527,0.7006237006237006,0.765661252900232,0.02109704641350211,0.09853249475890985,0.39147286821705424,0.5560081466395111,0.27149321266968324,0.6153846153846154,0.6016771488469602,0.25387596899224807,0.06860706860706861,0.3854166666666667,0.9300699300699301,0.770042194092827,0.19305019305019305,0.2689075630252101,0.17671517671517672,0.07877813504823152,0.16753022452504318,0.18421052631578946,0.0297723292469352,0.2876712328767123,0.2874354561101549,1.3089983022071308,0.4176,0.9464882943143813,0.2670157068062827,0.029654036243822075
16,0.03309692671394799,0.4336842105263158,0.639751552795031,0.4744186046511628,0.037296037296037296,0.010526315789473684,0.8233009708737864,0.5981308411214953,0.023809523809523808,1.0993788819875776,0.19874476987447698,0.47378640776699027,0.17567567567567569,0.7035490605427975,2.485981308411215,0.3860759493670886,0.12648221343873517,0.05241090146750524,0.34575569358178054,0.003215434083601286,0.012089810017271158,0.0805921052631579,0.0,0.0,0.7086206896551724,1.032312925170068,2.0798722044728435,1.0735785953177257,0.05235602094240838,0.01155115511551155
17,0.0,0.020964360587002098,0.3783783783783784,0.39675174013921116,0.016355140186915886,0.030162412993039442,0.3917525773195876,0.0,0.019801980198019802,0.40124740124740127,0.050314465408805034,0.1958762886597938,0.07207207207207207,0.8663883089770354,1.0790697674418606,0.16666666666666666,0.0728476821192053,0.018907563025210083,0.10602910602910603,0.07234726688102894,0.14776632302405499,0.1291390728476821,0.0017574692442882249,0.02226027397260274,0.24784853700516352,1.336734693877551,1.0208,1.088628762541806,0.0817391304347826,0.0
18,0.0,0.00631578947368421,0.8252631578947368,0.4305555555555556,0.05116279069767442,0.02158273381294964,0.6895787139689579,0.0,0.027613412228796843,0.32842105263157895,0.05605381165919283,0.004434589800443459,0.11235955056179775,0.7166666666666667,0.7336448598130841,0.3987341772151899,0.03761061946902655,0.31027253668763105,0.06947368421052631,0.05910543130990415,0.2158894645941278,0.08717105263157894,0.021052631578947368,0.04280821917808219,0.5482758620689655,0.9881154499151104,2.3636363636363638,0.9731993299832495,0.033101045296167246,0.0
19,0.0,0.02088167053364269,0.4218009478672986,0.12064965197215777,0.08177570093457943,0.23076923076923078,0.12416851441241686,0.14285714285714285,0.03397027600849257,0.13507109004739337,0.028639618138424822,0.019955654101995565,0.13646532438478748,0.18043478260869567,0.4825174825174825,0.15010570824524314,0.0,0.0,0.035545023696682464,0.016100178890876567,0.14335060449050085,0.0805921052631579,0.0035149384885764497,0.0,0.1566265060240964,0.23898305084745763,1.6112,0.7638190954773869,0.041884816753926704,0.0
20,0.0,0.0,0.2589073634204275,0.3101851851851852,0.02564102564102564,0.009615384615384616,0.20535714285714285,0.0,0.015873015873015872,0.0,0.05502392344497608,0.020089285714285716,0.13004484304932734,0.01904761904761905,0.01627906976744186,0.11578947368421053,0.38716814159292035,0.007334963325183374,0.0,0.0017921146953405018,0.022336769759450172,0.1118421052631579,0.04203152364273205,0.0,0.3586206896551724,0.20748299319727892,1.6411483253588517,0.5618729096989966,0.0017452006980802793,0.0
21,0.0,0.0,0.4928909952606635,0.013921113689095127,0.07674418604651163,0.05783132530120482,0.17073170731707318,0.07834101382488479,0.01805869074492099,0.0,0.02158273381294964,0.21286031042128603,0.06551059730250482,0.06190476190476191,0.013422818791946308,0.10337552742616034,0.004415011037527594,0.00980392156862745,0.0,0.0,0.05699481865284974,0.06291390728476821,0.0,0.0,0.6523235800344234,0.01870748299319728,1.1136,0.11204013377926421,0.0,0.0
22,0.0,0.0,0.1876484560570071,0.004228329809725159,0.026845637583892617,0.039832285115303984,0.015521064301552107,0.0,0.0,0.0,0.019138755980861243,0.026607538802660754,0.08301158301158301,0.023809523809523808,0.0,0.13107822410147993,0.04424778761061947,0.004901960784313725,0.0,0.0,0.0,0.12828947368421054,0.005263157894736842,0.0,0.0034423407917383822,0.008503401360544218,0.10158730158730159,0.020100502512562814,0.008726003490401396,0.0
23,0.0,0.004819277108433735,0.0,0.0,0.1165644171779141,0.004056795131845842,0.011135857461024499,0.0,0.020316027088036117,0.0,0.016786570743405275,0.3363028953229399,0.03088803088803089,0.011904761904761904,0.11224489795918367,0.002105263157894737,0.05739514348785872,0.0,0.0,0.0,0.003436426116838488,0.003289473684210526,0.005263157894736842,0.0,0.10862068965517241,0.1864406779661017,0.04847396768402154,0.0,0.0,0.0
