subjective_hour,Ag8F,Ag17F,Ag27F,Ag33F,Ag46F,Ag60F,Ag62F,Ag69F,Ag75F,Ag3M,Ag5M,Ag6M,Ag7M,Ag10M,Ag13M,Ag24M,Ag26M,Ag28M,Ag29M,Ag49M,Ag58M,Ag68M,Ag93M,Ag45F,Ag76F,Ag90F
10,0.14444444444444443,0.03611111111111111,0.044444444444444446,0.08611111111111111,0.10277777777777777,0.13055555555555556,0.075,0.3138888888888889,0.21388888888888888,0.09166666666666666,0.3861111111111111,0.18888888888888888,0.5111111111111111,0.1111111111111111,0.13333333333333333,0.1388888888888889,0.85,0.1,0.03888888888888889,0.3541666666666667,0.1,0.2708333333333333,0.029166666666666667,0.008333333333333333,0.25833333333333336,0.08333333333333333
11,1.3972222222222221,0.11666666666666667,0.14722222222222223,0.17222222222222222,0.11388888888888889,0.13333333333333333,0.11666666666666667,0.775,0.12777777777777777,0.11666666666666667,0.23055555555555557,0.375,0.125,0.17222222222222222,0.14166666666666666,0.14166666666666666,0.7194444444444444,0.2777777777777778,0.11944444444444445,0.0,0.004166666666666667,0.06666666666666667,0.0,0.2708333333333333,0.22083333333333333,0.0
12,0.9801324503311258,1.4933774834437086,1.0927152317880795,1.2847682119205297,0.33774834437086093,0.4966887417218543,0.6490066225165563,0.48344370860927155,0.4337748344370861,1.3079470198675496,0.6556291390728477,1.0132450331125828,0.4966887417218543,2.198675496688742,0.6986754966887417,0.8675496688741722,2.2152317880794703,3.30794701986755,1.2317880794701987,0.5555555555555556,0.005555555555555556,0.5833333333333334,0.022222222222222223,0.05,0.1,0.0
13,0.8266666666666667,0.74,0.5366666666666666,0.6633333333333333,0.27,0.44,0.37666666666666665,0.52,0.64,0.71,0.78,2.44,0.7,1.3233333333333333,0.5766666666666667,0.41,1.4,1.7533333333333334,0.5666666666666667,0.4222222222222222,0.0,0.06111111111111111,0.0,0.8555555555555555,0.42777777777777776,0.0
14,1.04,0.9566666666666667,0.23,0.44,0.14666666666666667,0.2733333333333333,0.21,0.4033333333333333,0.4533333333333333,0.86,0.7066666666666667,0.84,1.5366666666666666,0.46,0.39,0.29333333333333333,0.5933333333333334,0.5633333333333334,0.5,0.0,0.027777777777777776,0.016666666666666666,0.05,0.11666666666666667,0.4777777777777778,0.0
15,0.96,0.33666666666666667,0.17666666666666667,0.73,0.25,0.43,0.4066666666666667,0.5433333333333333,0.41,0.54,0.44666666666666666,0.5666666666666667,0.16666666666666666,0.93,0.43333333333333335,0.3433333333333333,0.5466666666666666,0.61,0.3566666666666667,0.027777777777777776,1.3444444444444446,0.027777777777777776,0.07777777777777778,0.24444444444444444,0.12777777777777777,0.0
16,1.06,0.34,0.16666666666666666,0.67,0.45,0.30333333333333334,0.31333333333333335,0.23333333333333334,0.3466666666666667,0.45,0.55,0.41333333333333333,0.4,1.0733333333333333,0.39,0.07666666666666666,0.24333333333333335,0.43333333333333335,0.4066666666666667,0.044444444444444446,2.25,0.022222222222222223,0.0,0.7777777777777778,0.13333333333333333,0.8166666666666667
17,0.36,0.4,0.4066666666666667,0.6266666666666667,0.21,0.4,0.36333333333333334,0.3566666666666667,0.44666666666666666,0.5866666666666667,0.43333333333333335,1.7033333333333334,0.25,0.22666666666666666,0.30666666666666664,0.2733333333333333,0.48333333333333334,0.71,0.8866666666666667,0.011111111111111112,0.2111111111111111,0.2222222222222222,0.005555555555555556,0.11666666666666667,0.005555555555555556,0.011111111111111112
18,0.57,0.3466666666666667,0.31333333333333335,0.3466666666666667,0.22,0.24333333333333335,0.3566666666666667,0.15333333333333332,0.30666666666666664,0.69,1.5133333333333334,0.7733333333333333,0.20333333333333334,0.28,0.5133333333333333,0.36,0.7033333333333334,0.74,0.51,0.05,0.022222222222222223,0.17777777777777778,0.0,0.07222222222222222,0.3111111111111111,0.005555555555555556
19,0.56,0.10333333333333333,0.4166666666666667,1.61,0.5633333333333334,0.6866666666666666,0.5066666666666667,0.11,0.71,0.94,0.75,0.96,0.48333333333333334,0.5233333333333333,0.5533333333333333,0.4,0.5266666666666666,0.62,0.52,0.1,0.4111111111111111,0.25,0.011111111111111112,0.6333333333333333,0.03888888888888889,0.0
20,0.9833333333333333,0.51,0.6833333333333333,0.6833333333333333,0.4866666666666667,0.5933333333333334,0.48,0.09666666666666666,0.7366666666666667,0.5666666666666667,0.18,1.0033333333333334,0.29,0.22666666666666666,0.38,0.37333333333333335,0.29,0.41,0.3466666666666667,0.12222222222222222,0.044444444444444446,0.1111111111111111,0.0,0.044444444444444446,0.25555555555555554,0.7166666666666667
21,0.09333333333333334,0.8,0.75,1.2466666666666666,0.49,0.03666666666666667,0.17333333333333334,0.02666666666666667,0.7233333333333334,0.08666666666666667,0.06333333333333334,0.13333333333333333,1.6833333333333333,0.4666666666666667,0.4266666666666667,0.36333333333333334,0.5033333333333333,0.38333333333333336,0.12666666666666668,0.044444444444444446,0.12222222222222222,0.09444444444444444,0.29444444444444445,0.14444444444444443,0.0,0.25
22,0.15,0.06,0.2866666666666667,0.056666666666666664,0.14666666666666667,0.0,0.01,0.04,0.05,0.01,0.7833333333333333,0.55,0.23333333333333334,0.14666666666666667,0.31333333333333335,0.52,0.23333333333333334,1.71,0.05333333333333334,0.37777777777777777,2.238888888888889,0.09444444444444444,0.12777777777777777,2.3944444444444444,0.044444444444444446,0.0
23,1.4433333333333334,0.07,0.9933333333333333,0.3233333333333333,0.06333333333333334,0.04,0.08333333333333333,0.04666666666666667,0.44333333333333336,0.02,0.9933333333333333,0.13666666666666666,0.18,0.3233333333333333,0.2733333333333333,0.16,0.11333333333333333,0.9066666666666666,0.12,0.9444444444444444,0.9388888888888889,0.1111111111111111,0.40555555555555556,1.5,0.12222222222222222,0.0
