subjective_hour,Ag8F,Ag17F,Ag27F,Ag33F,Ag46F,Ag60F,Ag62F,Ag69F,Ag72F,Ag77F,Ag75F,Ag1M,Ag3M,Ag5M,Ag6M,Ag7M,Ag10M,Ag13M,Ag24M,Ag26M,Ag28M,Ag29M
10,0.39501779359430605,0.7894736842105263,0.1968503937007874,0.4107744107744108,0.2111111111111111,0.16161616161616163,0.038314176245210725,0.6730158730158731,0.2548262548262548,0.16666666666666666,0.07936507936507936,0.6062717770034843,1.0888888888888888,0.23297491039426524,0.49477351916376305,0.5547169811320755,0.1828358208955224,0.22916666666666666,0.5454545454545454,0.4496124031007752,0.9163763066202091,0.9357142857142857
11,0.549645390070922,0.6086956521739131,0.3137254901960784,0.5252525252525253,0.329073482428115,0.48484848484848486,0.31417624521072796,0.32802547770700635,0.6307692307692307,0.07604562737642585,1.1468253968253967,0.34843205574912894,0.7428571428571429,1.086021505376344,0.47735191637630664,0.6753731343283582,0.503731343283582,0.828125,0.7272727272727273,0.48135593220338985,0.3076923076923077,0.7745454545454545
12,1.5093167701863355,1.0,0.8235294117647058,2.0976430976430978,1.3503184713375795,0.6195286195286195,0.6603053435114504,1.1114649681528663,1.1141975308641976,2.3179916317991633,1.6578073089700998,2.0725806451612905,1.2857142857142858,1.896057347670251,1.7630662020905923,1.5298507462686568,1.1791044776119404,1.425,1.4276094276094276,0.8803986710963455,2.35191637630662,1.2178571428571427
13,1.3115264797507789,0.823076923076923,0.6274509803921569,1.6073825503355705,0.35668789808917195,0.20875420875420875,0.03065134099616858,0.22857142857142856,0.13271604938271606,0.25,0.7210884353741497,0.8784722222222222,1.2253968253968255,0.7419354838709677,1.5069444444444444,0.5261194029850746,0.8651685393258427,0.678125,0.7348993288590604,0.7448979591836735,0.8916083916083916,0.9563636363636364
14,1.2693602693602695,0.3281853281853282,0.11811023622047244,0.8585858585858586,0.12460063897763578,0.4161073825503356,0.0,0.42857142857142855,0.5169230769230769,0.602510460251046,0.265993265993266,0.09090909090909091,0.9396825396825397,0.7025089605734767,0.24041811846689895,0.20149253731343283,0.9773584905660377,0.33125,0.494949494949495,0.7209302325581395,1.5470383275261324,0.48928571428571427
15,0.24468085106382978,0.5868725868725869,0.3215686274509804,1.8585858585858586,0.08571428571428572,0.25925925925925924,0.11877394636015326,0.8793650793650793,0.4074074074074074,1.4811715481171548,0.9228187919463087,0.2777777777777778,0.9968152866242038,1.0681003584229392,1.32404181184669,0.1828358208955224,0.5970149253731343,0.94375,1.2222222222222223,0.38513513513513514,2.0314685314685317,0.4043321299638989
16,0.35231316725978645,0.06538461538461539,0.20784313725490197,0.29292929292929293,0.1501597444089457,0.4006734006734007,0.21455938697318008,0.2507936507936508,0.41846153846153844,0.0625,0.6394557823129252,0.5594405594405595,0.9936507936507937,0.44086021505376344,0.759581881533101,0.44776119402985076,0.191044776119403,0.80625,0.7441077441077442,0.24749163879598662,0.3205574912891986,0.21942446043165467
17,0.39501779359430605,0.525096525096525,0.3843137254901961,0.4074074074074074,0.17252396166134185,0.4175084175084175,0.08396946564885496,1.053968253968254,0.15170278637770898,0.7666666666666667,0.9566666666666667,0.3229166666666667,0.5668789808917197,0.25448028673835127,0.4930555555555556,0.7715355805243446,0.6477611940298508,0.484375,0.3939393939393939,0.43853820598006643,1.4094488188976377,0.2642857142857143
18,0.25886524822695034,0.3730769230769231,0.2283464566929134,0.8355704697986577,0.09841269841269841,0.4664429530201342,0.06513409961685823,0.2070063694267516,0.2246153846153846,0.7725752508361204,0.1288135593220339,0.43006993006993005,1.1523809523809523,0.5770609318996416,0.20557491289198607,0.2,0.3373134328358209,0.625,0.37919463087248323,0.2925170068027211,0.18815331010452963,0.2109090909090909
19,0.7366548042704626,0.10424710424710425,0.6078431372549019,0.3172690763052209,0.2871287128712871,0.2727272727272727,0.0421455938697318,0.3047619047619048,0.10526315789473684,0.07692307692307693,1.2312925170068028,0.3797909407665505,0.8245033112582781,1.2867383512544803,0.13588850174216027,1.2276119402985075,0.2835820895522388,0.321875,0.32996632996632996,0.132890365448505,0.8954703832752613,0.25357142857142856
20,0.6263345195729537,0.24615384615384617,0.2875816993464052,0.25630252100840334,0.05925925925925926,0.6195286195286195,0.40458015267175573,0.31528662420382164,0.09698996655518395,0.18333333333333332,0.4584717607973422,0.4878048780487805,0.15476190476190477,0.1935483870967742,0.2578397212543554,0.48880597014925375,0.8626865671641791,0.884375,0.3164983164983165,0.2653061224489796,0.21254355400696864,0.12
21,0.7375886524822695,0.13178294573643412,0.2777777777777778,0.14767932489451477,0.16356877323420074,0.10437710437710437,0.26053639846743293,0.34285714285714286,0.3166023166023166,0.13712374581939799,0.35374149659863946,0.20905923344947736,0.14682539682539683,0.43010752688172044,0.27177700348432055,0.34328358208955223,0.28668941979522183,0.5375,0.2962962962962963,0.6245847176079734,0.5296167247386759,0.09523809523809523
22,0.24199288256227758,0.3346153846153846,0.3081967213114754,0.4309623430962343,0.30223880597014924,0.006734006734006734,0.5902140672782875,0.1423841059602649,0.21923076923076923,0.23745819397993312,0.18855218855218855,0.3519163763066202,0.47619047619047616,0.3374233128834356,0.24305555555555555,0.15671641791044777,0.16981132075471697,0.678125,0.22818791946308725,0.22259136212624583,0.22996515679442509,0.5373134328358209
23,0.2918149466192171,0.26640926640926643,0.24183006535947713,0.890295358649789,0.07037037037037037,0.15100671140939598,0.5657492354740061,0.05555555555555555,0.03474903474903475,0.5466666666666666,0.6409395973154363,0.89198606271777,0.3107569721115538,0.42024539877300615,0.23693379790940766,0.26492537313432835,0.30970149253731344,0.5375,0.35353535353535354,0.2755102040816326,0.30662020905923343,0.1268882175226586
