subjective_hour,SgA3,SgA4,SgA9,SgA11,SgA12,SgA13,SgA14,SgA15,SgA17,SgA18,SgA19,SgA21,SgA22,SgA25,SgB5,SgB6,SgB13,SgB14,SgB15,SgB17,SgB19,SgB20,SgB22,SgB23
13,0.015053763440860216,0.31477927063339733,0.17647058823529413,0.36088709677419356,2.7943548387096775,0.20683111954459202,0.001984126984126984,0.9888392857142857,0.0,0.036585365853658534,0.24885844748858446,0.2069767441860465,0.23578947368421052,0.4451219512195122,0.8388625592417062,0.3975,0.3554987212276215,0.7966101694915254,0.1523809523809524,0.24250681198910082,1.224,0.5216216216216216,0.16847826086956522,0.0
14,0.41774891774891776,0.21153846153846154,0.052941176470588235,0.016129032258064516,2.717741935483871,0.009523809523809525,0.18055555555555555,0.020134228187919462,0.27613412228796846,0.17276422764227642,0.5217391304347826,0.771889400921659,0.0,0.3353658536585366,0.04275534441805225,0.445,0.0,0.2570694087403599,0.6090047393364929,0.38333333333333336,0.26790450928381965,0.6199460916442049,0.3143631436314363,0.0
15,0.3706896551724138,0.0,0.0058823529411764705,0.03024193548387097,0.0020161290322580645,0.13333333333333333,0.06349206349206349,0.04241071428571429,0.20553359683794467,0.0,0.4018264840182648,0.0,0.2947761194029851,0.012195121951219513,0.007142857142857143,0.015,0.0,0.12228260869565218,0.4821852731591449,0.5833333333333334,2.1152815013404824,0.3008130081300813,0.0921409214092141,0.0
16,0.24838012958963282,0.0,0.07421875,0.2439516129032258,0.20362903225806453,0.00205761316872428,0.2123015873015873,0.07623318385650224,0.4647058823529412,0.030612244897959183,0.8287671232876712,0.3656565656565657,0.3850467289719626,0.10183299389002037,0.06904761904761905,0.125,0.07653061224489796,0.00966183574879227,0.5047619047619047,0.6880952380952381,0.5767195767195767,0.005420054200542005,0.08130081300813008,0.005263157894736842
17,0.0,0.007692307692307693,0.0019569471624266144,0.11693548387096774,1.0161290322580645,0.0,0.10119047619047619,0.1476510067114094,0.1992110453648915,0.1443089430894309,0.2723112128146453,0.6876267748478702,0.09363295880149813,0.7987804878048781,0.7333333333333333,0.55,0.24040920716112532,0.021739130434782608,0.34285714285714286,1.1169451073985681,0.5839080459770115,0.010810810810810811,0.3062330623306233,0.5026455026455027
18,0.03023758099352052,0.05,0.01568627450980392,0.40524193548387094,0.0625,0.0,0.00992063492063492,0.025390625,0.0631163708086785,0.19715447154471544,0.2894211576846307,0.0,0.00186219739292365,0.07926829268292683,0.32860520094562645,0.025,0.0,0.05555555555555555,0.16904761904761906,0.8782816229116945,2.1383219954648527,0.051351351351351354,0.0,0.0
19,0.0,0.15384615384615385,0.017716535433070866,0.5353535353535354,0.0,0.029166666666666667,0.017857142857142856,0.023483365949119372,0.058823529411764705,0.47764227642276424,0.442,0.17373737373737375,0.0,0.23373983739837398,0.02197802197802198,0.1475,0.12938596491228072,0.1280193236714976,0.24822695035460993,0.315035799522673,0.3456221198156682,0.37567567567567567,0.17615176151761516,0.0
20,0.0,0.019230769230769232,0.04185022026431718,0.024193548387096774,0.08669354838709678,0.30864197530864196,0.0496031746031746,0.0,0.1324110671936759,0.06097560975609756,0.524,0.008113590263691683,0.0,0.17718940936863545,0.9027777777777778,0.0075,0.017543859649122806,0.012077294685990338,0.5,0.861904761904762,1.6961451247165533,0.23201856148491878,0.0,0.004524886877828055
21,0.0,0.0057692307692307696,0.08388520971302428,0.0,0.08971553610503283,0.0,0.023809523809523808,0.0,0.368836291913215,0.004149377593360996,0.23353293413173654,0.0,0.15723270440251572,0.14198782961460446,0.8,0.235,0.1422319474835886,0.38164251207729466,0.4083333333333333,0.3523809523809524,0.20276497695852536,0.45011600928074247,0.0,0.2505643340857788
22,0.1828793774319066,0.005758157389635317,0.024282560706401765,0.014112903225806451,0.4769585253456221,0.0,0.015873015873015872,0.005859375,0.3509803921568627,0.2571428571428571,0.5150300601202404,0.0,0.0,0.05295315682281059,0.05277777777777778,0.0175,0.28289473684210525,0.13285024154589373,0.25833333333333336,0.30787589498806683,0.5260770975056689,0.002320185614849188,0.18284424379232506,0.2895927601809955
23,0.0,0.011538461538461539,0.01762114537444934,0.0,2.292626728110599,0.0,0.025793650793650792,0.01761252446183953,0.10453648915187377,0.04065040650406504,0.5289421157684631,0.0,0.0,0.12601626016260162,0.5683962264150944,0.0075,0.03289473684210526,0.7657004830917874,0.10277777777777777,0.580952380952381,0.3669724770642202,0.0,0.040632054176072234,0.19683257918552036
