species,variant,beta,n,pct_rhythmic_DD,pct_entrained_LS,pct_entrained_true,tau_DD_mean,tau_DD_sd,tau_LS_LD_mean,tau_LS_LD_sd,A_DD,A_LD,phase_ZT,vector_r,light_dark,fwhm_LD,peak6_LD,max_jump_LD,edge_sharp_LD,damping_LD,peaks_per_day,tau_LD_sd_entrained
A. pennsylvanica,fitted,1.5,500,95.8,57.199999999999996,60.199999999999996,22.488442301587302,4.557580603581313,20.93779287543302,4.069269776339588,0.6406967,0.8147772,11.589633299120123,0.20698824133843707,0.7766112,5.884,0.40245958531251325,0.4543373429565641,0.08386632868037473,1.0216018,1.2163595505617977,0.10328835215242174
A. pennsylvanica,fitted,2.0,500,95.8,62.8,75.2,22.488442301587302,4.557580603581313,21.28741179730221,4.07146468117098,0.6406967,0.83502656,11.563812744908406,0.21557104309879724,0.7411177,5.52,0.4153045732816636,0.48031261224971583,0.07549702082895449,1.0101509,1.2688539325842696,0.19537089457728682
L. cornutus,fitted,0.0,500,88.2,54.400000000000006,1.0,25.54113896825397,1.939596503631069,24.91170611900865,1.6798623334479068,0.6623685,0.75534993,19.362320169710316,0.4713339767360957,0.33640292,10.31,0.4886712770724322,0.32041085217782805,0.07345820275531961,1.3878942,0.9680086114101183,0.3466472049722448
L. cornutus,fitted,0.03,500,88.2,57.4,5.6000000000000005,25.54113896825397,1.939596503631069,24.896049432708722,1.648516812891738,0.6623685,0.7653636,19.15855397931012,0.4865802422502156,0.34533548,9.796,0.5081441488316982,0.3260867734720611,0.07166625945586753,1.3589759,0.9443702906350915,0.3660454506876049
L. cornutus,fitted,0.06,500,88.2,60.4,19.0,25.54113896825397,1.939596503631069,24.82905316824156,1.5925161196829394,0.6623685,0.77274144,19.477551077202158,0.5184129414046649,0.3350867,9.208,0.5405614622316806,0.3395381783918451,0.06882212908406421,1.3850169,0.9277072120559741,0.30749090742732693
L. cornutus,fitted,0.09,500,88.2,64.0,34.2,25.54113896825397,1.939596503631069,24.731820389309203,1.544795482541361,0.6623685,0.75946397,19.45876175294813,0.546721623366768,0.34142086,8.442,0.573864535324976,0.35407078620378585,0.06736437561240946,1.3432777,0.9341657696447793,0.3010408163216477
L. cornutus,fitted,0.12,500,88.2,68.60000000000001,47.8,25.54113896825397,1.939596503631069,24.628159508371912,1.4785370584123287,0.6623685,0.75508714,19.304503440936898,0.5875988844163834,0.31926858,7.692,0.6129383866451514,0.3603710092560515,0.06270148515601277,1.2704422,0.9299031216361678,0.23107561181682784
L. cornutus,fitted,0.2,500,88.2,79.4,65.8,25.54113896825397,1.939596503631069,24.351574206259645,1.226247420868781,0.6623685,0.75130117,19.972387837595505,0.6594088029452558,0.25641495,6.226,0.682280957182141,0.3751717715026241,0.05836247410651369,1.1642128,0.9481162540365984,0.054923731552343626
L. cornutus,fitted,0.3,500,88.2,87.8,79.60000000000001,25.54113896825397,1.939596503631069,24.140643058652632,0.8632447059545942,0.6623685,0.76262015,19.902673664849196,0.7086017496476573,0.20661509,5.456,0.7279633879274441,0.390419629473519,0.056082789259429736,1.10531,0.9583207750269106,0.043296086279808195
L. cornutus,fitted,0.5,500,88.2,94.0,89.4,25.54113896825397,1.939596503631069,24.016721307380074,0.35022496660369107,0.6623685,0.80986845,19.385714362562922,0.7448579140365108,0.1439725,4.788,0.7648948910345875,0.4275636436719555,0.05804892672856845,1.0152427,0.9712378902045209,0.016626494440533518
